title,link,description,published
The Widening of Neptune Pass,https://www.earthobservatory.nasa.gov/images/151089/the-widening-of-neptune-pass,The pass now has a flow five times that of New York’s Hudson River.,"Mon, 20 Mar 2023 00:00:00 -0400"
Evaporation from Laguna Ojo de Liebre,https://www.earthobservatory.nasa.gov/images/151104/evaporation-from-laguna-ojo-de-liebre,An astronaut spotted colorful evaporation ponds in Mexico while in orbit over the Baja Peninsula.,"Sun, 19 Mar 2023 00:00:00 -0400"
Precipitation Piles on in California,https://www.earthobservatory.nasa.gov/images/151107/precipitation-piles-on-in-california,Successive atmospheric rivers in March dropped even more rain and snow throughout the state.,"Fri, 17 Mar 2023 17:38:02 -0400"
How Dust Affects the World’s Health,https://www.earthobservatory.nasa.gov/images/151100/how-dust-affects-the-worlds-health,NASA research finds that a combination of windblown dust and human-caused particle pollution was associated with nearly 3 million premature deaths in 2019.,"Fri, 17 Mar 2023 00:00:00 -0400"
Antarctic Sea Ice Reaches Another Record Low,https://www.earthobservatory.nasa.gov/images/151093/antarctic-sea-ice-reaches-another-record-low,"The long-term trend for sea ice in the south is still flat, while the global trend points downward.","Thu, 16 Mar 2023 00:00:00 -0400"
Mountain Pass Rare Earth Mine,https://www.earthobservatory.nasa.gov/images/151085/mountain-pass-rare-earth-mine,The mountains of southeastern California are home to a large rare-earth element mine.,"Wed, 15 Mar 2023 00:00:00 -0400"
Low Water Level on Lake Kariba,https://www.earthobservatory.nasa.gov/images/151068/low-water-level-on-lake-kariba,"As water dropped to critically low levels, electricity production suffered and power outages plagued Zimbabwe and Zambia.","Tue, 14 Mar 2023 00:00:00 -0400"
Muddy Water and a Wide Floodplain,https://www.earthobservatory.nasa.gov/images/151078/muddy-water-and-a-wide-floodplain,The mighty Amazon River carries a huge amount of sediment and occasionally delivers muddy water to nearby lakes.,"Mon, 13 Mar 2023 00:00:00 -0400"
Potosí and Cerro Rico,https://www.earthobservatory.nasa.gov/images/151059/potosi-and-cerro-rico,The Bolivian mining city—one of the highest cities in the world—grew at the foot of an eroded volcano riddled with silver.,"Sun, 12 Mar 2023 00:00:00 -0500"
Floods Swamp Australia’s Northern Territory,https://www.earthobservatory.nasa.gov/images/151081/floods-swamp-australias-northern-territory,Days of rain have swollen rivers and lakes in the sparsely populated territory.,"Fri, 10 Mar 2023 16:20:39 -0500"
Flooded Rice Fields in Louisiana,https://www.earthobservatory.nasa.gov/images/151073/flooded-rice-fields-in-louisiana,The low-lying alluvial plain of the Mississippi River Valley is home to much of the nation’s rice farms.,"Fri, 10 Mar 2023 00:00:00 -0500"
For the Longest Time,https://www.earthobservatory.nasa.gov/images/151065/for-the-longest-time,"Tropical Cyclone Freddy, an unusually long-lived storm, wandered in the Indian Ocean for more than a month.","Wed, 08 Mar 2023 16:59:41 -0500"
Taking Stock of Carbon Dioxide Emissions,https://www.earthobservatory.nasa.gov/images/151062/taking-stock-of-carbon-dioxide-emissions,A pilot project has used satellite measurements to estimate emissions and removals of carbon dioxide in individual nations.,"Wed, 08 Mar 2023 00:00:00 -0500"
Nitrogen Dioxide in the Neighborhood,https://www.earthobservatory.nasa.gov/images/151005/nitrogen-dioxide-in-the-neighborhood,A team of scientists mapped nitrogen dioxide in California’s air at the neighborhood scale and found hotspots of the air pollutant near high-rise buildings and food processing facilities.,"Tue, 07 Mar 2023 00:00:00 -0500"
Mayotte’s Lagoon,https://www.earthobservatory.nasa.gov/images/151046/mayottes-lagoon,"Coral reefs surround the volcanic islands of Mayotte, the eastern-most islands in the Comoros archipelago.","Mon, 06 Mar 2023 00:00:00 -0500"
Flash Floods from Ida Swamp the Northeast,https://earthobservatory.nasa.gov/images/148792/flash-floods-from-ida-swamp-the-northeast,"Many of the worst-hit areas in Delaware, Pennsylvania, New Jersey, and New York saw 6 to 10 inches of rain fall in just a few hours.","Thu, 02 Sep 2021 17:40:48 -0400"
This Isn’t My First Rodeo,https://earthobservatory.nasa.gov/blogs/fromthefield/?p=11662,"Engineer Andy Hynous is back in the saddle in Fort Sumner, New Mexico, where NASA’s Scientific Balloon Program is making flights for the fall 2021 balloon campaign.","Thu, 02 Sep 2021 15:39:16 -0400"
Smoky Skies in the Western Amazon,https://earthobservatory.nasa.gov/images/148781/smoky-skies-in-the-western-amazon,Increasing numbers of deforestation fires are darkening skies in Rondônia and Amazonas.,"Wed, 01 Sep 2021 17:39:35 -0400"
Satellite Observes Power Outages in New Orleans,https://earthobservatory.nasa.gov/images/148777/satellite-observes-power-outages-in-new-orleans,"Three days after Hurricane Ida, many people in Louisiana are going without electric power due to downed power lines and damaged transmission towers.","Wed, 01 Sep 2021 13:01:03 -0400"
Spotlight on the Galápagos Islands,https://earthobservatory.nasa.gov/images/148796/spotlight-on-the-galapagos-islands,Sunglint helps tease out features that are not often visible.,"Sun, 05 Sep 2021 00:00:00 -0400"
Leaf Hunting in Japan,https://earthobservatory.nasa.gov/images/149145/leaf-hunting-in-japan,Momijiari can last into early December in the country’s southern regions.,"Tue, 30 Nov 2021 00:00:00 -0500"
Silting the Cold Sea,https://earthobservatory.nasa.gov/images/149135/silting-the-cold-sea,Greenland’s glaciers grind rock into a fine powder that discolors meltwater and often makes beautiful patterns as it mixes with seawater.,"Mon, 29 Nov 2021 00:00:00 -0500"
A Seasonal Emerald in the Sahel,https://earthobservatory.nasa.gov/images/149117/a-seasonal-emerald-in-the-sahel,The Inland Delta of the Niger River is one of the world’s most productive wetlands.,"Sun, 28 Nov 2021 00:00:00 -0500"
Indonesia’s Twin Peaks,https://earthobservatory.nasa.gov/images/149142/indonesias-twin-peaks,"Mount Sundoro and Mount Sumbing are symmetrical, cone-shaped peaks in Central Java.","Sat, 27 Nov 2021 00:00:00 -0500"
Namib Sand Sea,https://earthobservatory.nasa.gov/images/149130/namib-sand-sea,The oldest desert on Earth also gives rise to some of the planet’s tallest dunes.,"Fri, 26 Nov 2021 00:00:00 -0500"
Paleozoic Plymouths,https://earthobservatory.nasa.gov/images/149138/paleozoic-plymouths,"Plymouth, Massachusetts, and Plymouth, England, share a historical connection even older than the first Thanksgiving.","Thu, 25 Nov 2021 00:00:00 -0500"
Turkey’s Cotton Castle,https://earthobservatory.nasa.gov/images/149127/turkeys-cotton-castle,"The hot springs at Pamukkale, Turkey, have produced the world’s largest deposit of travertine.","Wed, 24 Nov 2021 00:00:00 -0500"
A Rainforest Like No Other,https://earthobservatory.nasa.gov/images/149124/a-rainforest-like-no-other,"The Daintree region of Queensland, Australia, is home to one of the world’s oldest forests and hosts a vast range of unique species.","Tue, 23 Nov 2021 00:00:00 -0500"
A Changed Landscape on La Palma,https://earthobservatory.nasa.gov/images/149231/a-changed-landscape-on-la-palma,"After slow-moving lava flows bulldozed their way down the volcanic peak for months, parts of the island now look more like a moonscape than a tropical paradise.","Mon, 20 Dec 2021 16:38:18 -0500"
South Sudan Submerged,https://earthobservatory.nasa.gov/images/149217/south-sudan-submerged,Three extreme rainy seasons in a row have pushed rivers and wetlands to heights not seen in decades.,"Mon, 20 Dec 2021 00:00:00 -0500"
The Braided Paraná,https://earthobservatory.nasa.gov/images/149225/the-braided-parana,South America’s second-longest river forms part of the border between Argentina and Paraguay.,"Sun, 19 Dec 2021 00:00:00 -0500"
Super Typhoon Rai,https://earthobservatory.nasa.gov/images/149228/super-typhoon-rai,"Locally named Odette, the storm was one of the strongest recorded on Earth this year and the sixth to reach category 5.","Thu, 16 Dec 2021 19:54:20 -0500"
Derecho Sweeps Across Midwest,https://earthobservatory.nasa.gov/images/149221/derecho-sweeps-across-midwest,"Hurricane-force winds, dust storms, tornadoes, wildfires, snow squalls, heavy rain, and record-breaking heat accompanied an unusual December storm system.","Thu, 16 Dec 2021 14:30:19 -0500"
Disappearing Lake Tuz,https://earthobservatory.nasa.gov/images/149211/disappearing-lake-tuz,"Once the second-largest lake in Turkey, it now rarely spans an area much larger than a puddle.","Thu, 16 Dec 2021 00:00:00 -0500"
Nighttime Images Detail Kentucky Blackout,https://earthobservatory.nasa.gov/images/149215/nighttime-images-detail-kentucky-blackout,Tornadoes and severe winds knocked out power to Mayfield and surrounding towns.,"Wed, 15 Dec 2021 17:18:59 -0500"
The Nile Delta’s Disappearing Farmland,https://earthobservatory.nasa.gov/images/149183/the-nile-deltas-disappearing-farmland,Rapid population growth and expanding cities are eating away at one of Egypt’s most precious resources.,"Wed, 15 Dec 2021 00:00:00 -0500"
Satellites Spot Tornado Tracks Across Midwest,https://earthobservatory.nasa.gov/images/149205/satellites-spot-tornado-tracks-across-midwest,"Preliminary reports suggest one tornado may have traveled nearly 200 miles, causing severe damage and human losses in Kentucky and three other states.","Mon, 13 Dec 2021 17:48:25 -0500"
La Niña Returns for a Second Winter,https://earthobservatory.nasa.gov/images/149201/la-nina-returns-for-a-second-winter,This coupling of the atmosphere and ocean alters atmospheric circulation and jet streams in ways that intensify rainfall in some regions and bring drought to others.,"Mon, 13 Dec 2021 00:00:00 -0500"
"North Patagonia Icefield, Southern Andes",https://earthobservatory.nasa.gov/images/149192/north-patagonia-icefield-southern-andes,The mountain peaks here reach high enough and temperatures remain cold enough year-round that permanent ice persists amid a warming world.,"Sun, 12 Dec 2021 00:00:00 -0500"
A Deadly Day on Mount Semeru,https://earthobservatory.nasa.gov/images/149198/a-deadly-day-on-mount-semeru,Flows of superheated ash and tephra mixed with rain to create destructive rivers of debris on the Indonesian volcano.,"Sat, 11 Dec 2021 00:00:00 -0500"
Soggy Autumn in the Pacific Northwest,https://earthobservatory.nasa.gov/images/149195/soggy-autumn-in-the-pacific-northwest,Soils across western Washington and southern British Columbia were saturated for much of the season.,"Thu, 09 Dec 2021 14:01:57 -0500"
Snow Caps Mauna Kea and Mauna Loa,https://earthobservatory.nasa.gov/images/149189/snow-caps-mauna-kea-and-mauna-loa,A “Kona low” weather system brought blizzard conditions and extreme precipitation to Hawai’i.,"Wed, 08 Dec 2021 17:27:25 -0500"
"Interning at 40,000 Feet: The NASA Student Airborne Research Program Experience",https://earthobservatory.nasa.gov/blogs/fromthefield/?p=11794,"For students who want to take atmospheric science as literally as possible, it doesn’t get much better than flying in a NASA aircraft.","Thu, 20 Jan 2022 12:07:38 -0500"
Venice Holds Back the Adriatic Sea,https://earthobservatory.nasa.gov/images/149151/venice-holds-back-the-adriatic-sea,A long-awaited system of movable floodgates is starting to protect the city from the highest tides.,"Thu, 02 Dec 2021 00:00:00 -0500"
Tidal Vortices in the Sea of Okhotsk,https://earthobservatory.nasa.gov/images/149148/tidal-vortices-in-the-sea-of-okhotsk,Strong tides create laminar and turbulent flow patterns in waters off far eastern Russia.,"Wed, 01 Dec 2021 00:00:00 -0500"
Long-lasting Dust Storm from Chihuahua,https://earthobservatory.nasa.gov/images/148057/long-lasting-dust-storm-from-chihuahua,A strong low-pressure system along the Mexico-United States border scattered dust for nearly eight hours.,"Wed, 17 Mar 2021 17:32:16 -0400"
Dry Country of Turquoise,https://earthobservatory.nasa.gov/images/148048/dry-country-of-turquoise,The mountains in the southwestern Sinai Peninsula hold ancient relics of temples and turquoise mining.,"Wed, 17 Mar 2021 00:00:00 -0400"
Early Season Dust Storm Hits Beijing,https://earthobservatory.nasa.gov/images/148052/early-season-dust-storm-hits-beijing,"Meteorological spring is just getting underway, and already an enormous plume of sand and dust has blanketed northern China.","Mon, 15 Mar 2021 17:15:43 -0400"
Ol Doinyo Lengai,https://earthobservatory.nasa.gov/images/148042/ol-doinyo-lengai,The symmetric “Mountain of God” in Tanzania is part of the East African Rift system.,"Mon, 15 Mar 2021 00:00:00 -0400"
Reduced Fires Lead to Some Air Quality Improvements in Africa,https://earthobservatory.nasa.gov/images/147909/reduced-fires-lead-to-some-air-quality-improvements-in-africa,Changes in fire patterns have led to seasonal reductions in nitrogen dioxide pollution.,"Sun, 14 Mar 2021 00:00:00 -0500"
Torrential Rains Drench Hawaii,https://earthobservatory.nasa.gov/images/148045/torrential-rains-drench-hawaii,"Flash floods, landslides, and power outages plagued the islands after torrential rains fell.","Sat, 13 Mar 2021 00:00:00 -0500"
Ten Years After the Tsunami,https://earthobservatory.nasa.gov/images/148036/ten-years-after-the-tsunami,One of the hardest hit coastal cities in Japan is still working to recover.,"Thu, 11 Mar 2021 16:43:52 -0500"
From Mine District to Lake District,https://earthobservatory.nasa.gov/images/148031/from-mine-district-to-lake-district,"Once a center for mining brown coal, Central Germany is slowly transforming its pits to pools.","Thu, 11 Mar 2021 00:00:00 -0500"
Greening Landscape Changes Air Flow,https://earthobservatory.nasa.gov/images/148026/greening-landscape-changes-air-flow,Global warming would be worse were it not for extra vegetation that changes how and where heat builds up across the landscape.,"Wed, 10 Mar 2021 00:00:00 -0500"
Deforestation in Papua,https://earthobservatory.nasa.gov/images/148021/deforestation-in-papua,"While the region has seen less deforestation than other parts of Indonesia, large-scale clearing is still evident.","Tue, 09 Mar 2021 00:00:00 -0500"
Tournament Earth: Astronaut Photography,https://earthobservatory.nasa.gov/tournament-earth,"One round done, four to go. Which is the best photo of Earth shot by space station astronauts?","Mon, 08 Mar 2021 00:00:00 -0500"
Fisheye Over Sinai,https://earthobservatory.nasa.gov/images/147993/fisheye-over-sinai,Astronaut Andrew Morgan used a fisheye lens to capture the intersection of two continents.,"Sun, 07 Mar 2021 00:00:00 -0500"
Stars in Motion,https://earthobservatory.nasa.gov/images/147990/stars-in-motion,A compilation of dozens of long-exposure photographs taken from space turns stars into stunning rings and city lights and fires into colorful streaks.,"Sat, 06 Mar 2021 00:00:00 -0500"
Blue-green Algae at Lake Burrinjuck,https://earthobservatory.nasa.gov/images/148016/blue-green-algae-at-lake-burrinjuck,"In early 2021, authorities warned about potentially toxic blooms at a popular recreational lake in New South Wales.","Fri, 05 Mar 2021 13:43:23 -0500"
Wild Swings in Great Lakes Ice,https://earthobservatory.nasa.gov/images/148011/wild-swings-in-great-lakes-ice,"Despite a cold snap in February, low ice cover prevailed across the lakes in winter 2020-2021.","Thu, 04 Mar 2021 16:54:19 -0500"
"Himalayas, Near and Far",https://earthobservatory.nasa.gov/images/147980/himalayas-near-and-far,Two astronauts. Two clear days. Two gorgeous views around the roof of the world.,"Thu, 04 Mar 2021 00:00:00 -0500"
Breakup at Brunt,https://earthobservatory.nasa.gov/images/148009/breakup-at-brunt,"A large iceberg finally split from the Antarctic ice shelf, but another piece stubbornly hangs on.","Tue, 02 Mar 2021 17:22:48 -0500"
A Long-Ago Lake Amid the Dunes,https://earthobservatory.nasa.gov/images/148005/a-long-ago-lake-amid-the-dunes,The modern oasis of Jubbah sits within the wind shadow of historic mountains and the basin of an ancient lakebed.,"Tue, 02 Mar 2021 00:00:00 -0500"
Vegetation,https://earthobservatory.nasa.gov/MOD_NDVI_M,"Greenness is an important indicator of health for forests, grasslands, and farms. The greenness of a landscape, or vegetation index, depends on the number and type of plants, how leafy they are, and how healthy they are.","Sun, 28 Feb 2021 00:00:00 -0500"
Fire,https://earthobservatory.nasa.gov/MOD14A1_M_FIRE,"Whether started by humans (farming, logging, or accidents) or by nature (lightning), fires are always burning somewhere on Earth. These maps show the locations of fires burning around the world each month.","Sun, 28 Feb 2021 00:00:00 -0500"
Japan at Night,https://earthobservatory.nasa.gov/images/147987/japan-at-night,The contrast of the bright lights against the dark landscape makes this a favorite astronaut photo.,"Sun, 28 Feb 2021 00:00:00 -0500"
Cruising Past the Aurora Borealis,https://earthobservatory.nasa.gov/images/147984/cruising-past-the-aurora-borealis,Astronauts have snapped numerous photos of the light show from their unique perch on the International Space Station.,"Sat, 27 Feb 2021 00:00:00 -0500"
River Colors are Changing,https://earthobservatory.nasa.gov/images/147999/river-colors-are-changing,"In the past 35 years, one third of large rivers in the United States have changed their dominant color, often due to sediments or algae.","Fri, 26 Feb 2021 00:00:00 -0500"
A Glowing Plume Over Mount Etna,https://earthobservatory.nasa.gov/images/147996/a-glowing-plume-over-mount-etna,Intense lava fountains and lava flows illuminated a volcanic plume spreading across Sicily during an unusually pitched night of activity at the Italian volcano.,"Thu, 25 Feb 2021 13:36:55 -0500"
NASA To Launch Four Earth Science Missions in 2022,https://earthobservatory.nasa.gov/blogs/earthmatters/?p=11767,"The new missions will examine  fundamental climate systems and processes, including extreme storms, surface water and oceans, and atmospheric dust. ","Thu, 30 Dec 2021 12:05:02 -0500"
Windblown Beauty in the Weddell Sea,https://earthobservatory.nasa.gov/images/149180/windblown-beauty-in-the-weddell-sea,A dazzling array of sea ice types drifted in the waters off Antarctica’s Ronne Ice Shelf.,"Wed, 08 Dec 2021 00:00:00 -0500"
Five Years and Counting - Happy Birthday to the CYGNSS Octuplets!,https://earthobservatory.nasa.gov/blogs/fromthefield/?p=11774, ,"Wed, 15 Dec 2021 00:07:22 -0500"
Antarctica Eclipsed,https://earthobservatory.nasa.gov/images/149174/antarctica-eclipsed,"The only total solar eclipse of 2021 was visible from Antarctica, where the Moon blotted out the Sun for nearly two minutes.","Tue, 07 Dec 2021 00:00:00 -0500"
Spain’s Changing Mediterranean Coastline,https://earthobservatory.nasa.gov/images/149170/spains-changing-mediterranean-coastline,"Starved of its sediment supply, the Ebro Delta faces erosion and subsidence, along with rising seas and more frequent and intense storms.","Mon, 06 Dec 2021 00:00:00 -0500"
Lake Berryessa,https://earthobservatory.nasa.gov/images/149167/lake-berryessa,The reservoir provides water for Napa wine country and for cities in Northern California.,"Sun, 05 Dec 2021 00:00:00 -0500"
"Mount Michael, Volcano Track or Plume?",https://earthobservatory.nasa.gov/images/149160/mount-michael-volcano-track-or-plume,"The nearly 1,000-meter-tall volcano in the South Sandwich Islands frequently finds a way to put on a show.","Sat, 04 Dec 2021 00:00:00 -0500"
Mapping Marine Microplastics,https://earthobservatory.nasa.gov/images/149163/mapping-marine-microplastics,Researchers used satellite data to detect and track masses of plastic floating in the ocean.,"Fri, 03 Dec 2021 00:00:00 -0500"
New York and New Jersey,https://earthobservatory.nasa.gov/images/151056/new-york-and-new-jersey,Shadows from skyscrapers and other city buildings give the photograph a 3D look.,"Sun, 05 Mar 2023 00:00:00 -0500"
"Landslides in São Paulo, Brazil",https://earthobservatory.nasa.gov/images/151051/landslides-in-sao-paulo-brazil,"After torrential rains, satellite images revealed widespread landslides in the Brazilian state’s coastal municipality of São Sebastião.","Sat, 04 Mar 2023 00:00:00 -0500"
A Dazzling Aurora Borealis,https://earthobservatory.nasa.gov/images/151043/a-dazzling-aurora-borealis,"Astronauts and sky watchers oohed and aahed as the night sky lit up with pulsating displays of reds, greens, and purples.","Fri, 03 Mar 2023 00:00:00 -0500"
Saving a Forest of One,https://earthobservatory.nasa.gov/images/151022/saving-a-forest-of-one,Overgrazing by deer poses a threat to a giant quaking aspen tree colony in Utah—one of the largest organisms in the world.,"Thu, 02 Mar 2023 00:00:00 -0500"
Dust Blows Across the U.S. Southwest,https://earthobservatory.nasa.gov/images/151038/dust-blows-across-the-us-southwest,"In the wake of a cold front, strong winds lofted dust into the air over northern Mexico, eastern New Mexico, and northwestern Texas.","Wed, 01 Mar 2023 00:00:00 -0500"
Food and Agriculture,https://earthobservatory.nasa.gov/collection/1714/food-and-agriculture,"From soil conditions to crop productivity, satellite data help inform farmers, scientists, and decision-makers in the U.S. and around the world.","Tue, 28 Feb 2023 00:00:00 -0500"
Snow in Southern California,https://earthobservatory.nasa.gov/images/151034/snow-in-southern-california,A powerful late-February storm brought blizzard conditions to areas near Los Angeles.,"Mon, 27 Feb 2023 16:33:07 -0500"
Northern Kalahari Desert Panorama,https://earthobservatory.nasa.gov/images/151026/northern-kalahari-desert-panorama,"Smoke and cumulus clouds dotted the sky when an astronaut photographed a remote part of Botswana, Zambia, Namibia, and Angola.","Sun, 26 Feb 2023 00:00:00 -0500"
Dark Nights in Antakya,https://earthobservatory.nasa.gov/images/151029/dark-nights-in-antakya,"In the days after strong earthquakes struck Türkiye, significant destruction left many areas without electric power.","Fri, 24 Feb 2023 17:18:58 -0500"
Flooding Along the Orontes River,https://earthobservatory.nasa.gov/images/150998/flooding-along-the-orontes-river,"Some towns and farmland were flooded after powerful earthquakes and heavy rains struck areas of Türkiye and Syria.
 ","Thu, 23 Feb 2023 16:48:08 -0500"
Landslides in Türkiye,https://earthobservatory.nasa.gov/images/151016/landslides-in-turkiye,Scientists are using satellite images to locate landslides following the powerful earthquakes that struck in early February.,"Thu, 23 Feb 2023 11:27:48 -0500"
Fires Burn in Argentina’s Iberá National Park,https://earthobservatory.nasa.gov/images/151011/fires-burn-in-argentinas-ibera-national-park,"Fueled by a heatwave and prolonged drought, fires burned the protected Argentine oasis, home to capybaras and jaguars.","Wed, 22 Feb 2023 16:57:44 -0500"
Cyclone Freddy Hits Madagascar,https://earthobservatory.nasa.gov/images/151002/cyclone-freddy-hits-madagascar,"The tropical cyclone made landfall on February 21, 2023, after traveling for more than two weeks across the Indian Ocean.","Tue, 21 Feb 2023 17:52:18 -0500"
Mardi Gras Pass,https://earthobservatory.nasa.gov/images/150986/mardi-gras-pass,This free-flowing distributary reconnects the mighty Mississippi to the wetlands of Louisiana.,"Tue, 21 Feb 2023 00:00:00 -0500"
Another Dusty Day in the Bodélé Depression,https://earthobservatory.nasa.gov/images/150991/another-dusty-day-in-the-bodele-depression,The former lake bed is among the world’s most prolific sources of atmospheric dust.,"Mon, 20 Feb 2023 00:00:00 -0500"
Mōkapu Peninsula,https://earthobservatory.nasa.gov/images/150983/mokapu-peninsula,"The east coast of O’ahu, Hawaii, displays an array of natural and human-made features.","Sun, 19 Feb 2023 00:00:00 -0500"
Fires Scar the Chilean Landscape,https://earthobservatory.nasa.gov/images/150994/fires-scar-the-chilean-landscape,"The outbreak of fires in early February 2023 has diminished, but the burned area remained visible from space.","Fri, 17 Feb 2023 17:23:02 -0500"
Great Lakes Low on Ice,https://earthobservatory.nasa.gov/images/150979/great-lakes-low-on-ice,"This winter, ice cover in the basin has hovered at unusually low levels.","Fri, 17 Feb 2023 00:00:00 -0500"
Snow and Haze in Utah,https://earthobservatory.nasa.gov/images/150975/snow-and-haze-in-utah,"Snowy surfaces increase the chance of temperature inversions, which contribute to air quality problems in the Salt Lake City area.","Thu, 16 Feb 2023 00:00:00 -0500"
Cyclone Gabrielle Lashes New Zealand,https://earthobservatory.nasa.gov/images/150972/cyclone-gabrielle-lashes-new-zealand,The storm’s heavy rain in mid-February 2023 has added to an unusually wet start to the year.,"Tue, 14 Feb 2023 17:02:21 -0500"
Why Methane Surged in 2020,https://earthobservatory.nasa.gov/images/150967/why-methane-surged-in-2020,"Warm, wet weather in the Northern Hemisphere combined with COVID-19 lockdowns pushed the potent greenhouse gas to record levels.","Tue, 14 Feb 2023 00:00:00 -0500"
"Reservoirs Rise, but Groundwater Woes Remain",https://earthobservatory.nasa.gov/images/150953/reservoirs-rise-but-groundwater-woes-remain,The water delivered by winter storms in 2022-2023 is likely insufficient to reverse the longer-term depletion of California’s groundwater.,"Mon, 13 Feb 2023 00:00:00 -0500"
Tournament Earth - Best of EO,https://earthobservatory.nasa.gov/tournament-earth,"To celebrate EO's 20th anniversary and the 50th anniversary of Earth Day, we want you to pick our all-time best image. Each week from March 23 to April 28, you can vote for your favorites, narrowing the field from 32 nominees down to one champion.","Mon, 23 Mar 2020 00:00:00 -0400"
Healing Scars at Kaho’olawe,https://earthobservatory.nasa.gov/images/146466/healing-scars-at-kahoolawe,"The Hawaiian island has been scarred by volcanic eruptions, livestock grazing, penal colonies, bombs, and fire. Yet there is hope for healing.","Mon, 23 Mar 2020 00:00:00 -0400"
Waving at the Kerguelen Islands,https://earthobservatory.nasa.gov/images/146463/waving-at-the-kerguelen-islands,They are geographically isolated but scientifically and visually compelling.,"Sun, 22 Mar 2020 00:00:00 -0400"
Swollen Rivers in Channel Country,https://earthobservatory.nasa.gov/images/146454/swollen-rivers-in-channel-country,Heavy rain in March drenches parched land in southwestern Queensland.,"Sat, 21 Mar 2020 00:00:00 -0400"
Drift Ice in the Sea of Okhotsk,https://earthobservatory.nasa.gov/images/146451/drift-ice-in-the-sea-of-okhotsk,"Carried by winds and currents, sea ice can reach the coast of Hokkaido, Japan.","Fri, 20 Mar 2020 00:00:00 -0400"
Smoke Blankets Thailand and Burma (Myanmar),https://earthobservatory.nasa.gov/images/146460/smoke-blankets-thailand-and-burma-myanmar,Seasonal agricultural fires and wildfires are polluting the region’s air.,"Thu, 19 Mar 2020 15:35:39 -0400"
Parasitic Cones in Hokkaido,https://earthobservatory.nasa.gov/images/146448/parasitic-cones-in-hokkaido,"These nested volcanic features grew as small, secondary vents along the flanks of larger volcanoes.","Thu, 19 Mar 2020 00:00:00 -0400"
An Ash-Damaged Island in the Philippines,https://earthobservatory.nasa.gov/images/146444/an-ash-damaged-island-in-the-philippines,"When it erupted in January 2020, Taal Volcano blanketed the surrounding area with volcanic debris that has taken a toll on farmers.","Wed, 18 Mar 2020 00:00:00 -0400"
Slowly Flooding History,https://earthobservatory.nasa.gov/images/146439/slowly-flooding-history,"The 12,000-year old town of Hasankeyf could soon be underwater due to the construction of a new dam.","Tue, 17 Mar 2020 00:00:00 -0400"
The MOSAiC Floe,http://earthobservatory.nasa.gov/blogs/fromthefield/?p=11426,Central to the entire MOSAiC Expedition is the MOSAiC Floe: a large sheet of sea ice that was carefully selected as the ideal place to anchor Polarstern for an entire year.,"Mon, 16 Mar 2020 17:22:46 -0400"
A Space Communications Hub in Australia,https://earthobservatory.nasa.gov/images/146421/a-space-communications-hub-in-australia,The Canberra Deep Space Communications Complex plays a key role in keeping engineers and scientists connected to distant spacecraft.,"Mon, 16 Mar 2020 00:00:00 -0400"
"Jebel Marra, Sudan",https://earthobservatory.nasa.gov/images/146436/jebel-marra-sudan,"The almost circular massif in the Darfur region is a large cluster of volcanoes and lava flows, with a few traces of human activity.","Sun, 15 Mar 2020 00:00:00 -0400"
Ice Eddies in the Gulf of St. Lawrence,https://earthobservatory.nasa.gov/images/146418/ice-eddies-in-the-gulf-of-st-lawrence,"Winds and currents stirred up the thin sea ice, forming delicate patterns around Anticosti Island in Quebec, Canada.","Sat, 14 Mar 2020 00:00:00 -0400"
Fresh Water in Channel Country,https://earthobservatory.nasa.gov/images/146433/fresh-water-in-channel-country,Big rain events in Queensland can alter the landscape for months as water—and then a carpet of vegetation—moves toward Lake Eyre.,"Fri, 13 Mar 2020 13:58:32 -0400"
Thin Snow Cover in the Sierra Nevada,https://earthobservatory.nasa.gov/images/146424/thin-snow-cover-in-the-sierra-nevada,"The winter of 2019-2020 was much drier than usual in California, as evidenced by the dearth of snow in the mountains.","Fri, 13 Mar 2020 00:00:00 -0400"
Satellite Observations Aid Bison Management,https://earthobservatory.nasa.gov/images/146389/satellite-observations-aid-bison-management,"A new study has found a link between the effects of climate change, the productivity of grasslands, and the proliferation of bison in Yellowstone National Park.","Thu, 12 Mar 2020 00:00:00 -0400"
Fire in the Pantanal,https://earthobservatory.nasa.gov/images/146409/fire-in-the-pantanal,"Even during the wet season, fires can burn in the large wetland region in southwestern Brazil.","Wed, 11 Mar 2020 00:00:00 -0400"
Hints of Spring in the Atlantic,https://earthobservatory.nasa.gov/images/146412/hints-of-spring-in-the-atlantic,"The season is a time of great change, turbulence, and productivity in northern waters.","Tue, 10 Mar 2020 00:00:00 -0400"
More Dust Blows Out from North Africa,https://earthobservatory.nasa.gov/images/146407/more-dust-blows-out-from-north-africa,The latest in a series of dust storms carried even more dust and sand off the coast of Morocco and Western Sahara.,"Mon, 09 Mar 2020 13:54:53 -0400"
A Textbook Weather Front,https://earthobservatory.nasa.gov/images/146392/a-textbook-weather-front,"A cold front, warm front, and high-pressure system left their signatures in the clouds.","Mon, 09 Mar 2020 00:00:00 -0400"
Shelter Cove,https://earthobservatory.nasa.gov/images/146403/shelter-cove,The remote hamlet sits along California’s rugged “Lost Coast</a>.”,"Sun, 08 Mar 2020 00:00:00 -0500"
